12	12
12	12
12	12
13	12
17	15
20	17
23	21
27	25
28	26
33	29
37	31
39	34
44	37
47	40
49	44
54	47
60	51
64	55
66	56
68	57
70	61
74	65
79	71
81	78
86	84
89	88
91	91
97	95
100	98
100	98
102	100
105	102
107	105
109	108
113	111
114	114
115	115
115	115
116	116
116	116
116	116
116	116
116	116
116	116
116	116
116	116
116	116
116	116
116	116
116	116
116	116
116	116
116	116
116	116
116	116
116	116
116	116
116	116
116	116
116	116
116	116
116	116
116	116
116	116
116	116
116	116
116	116
116	116
116	116
116	116
116	116
116	116
116	116
116	116
116	116
116	116
116	116
116	116
116	116
116	116
116	116
116	116
116	116
116	116
116	116
116	116
115	116
109	116
104	116
98	116
92	116
87	116
83	116
77	116
70	116
66	116
64	116
63	116
62	116
62	116
62	116
62	116
62	116
62	116
62	116
62	116
62	116
62	116
62	116
62	116
62	116
62	115
62	115
62	115
62	115
62	115
62	115
62	115
62	115
62	115
62	115
62	115
65	115
69	115
71	116
75	117
129	90
129	90
129	90
129	90
129	90
129	90
127	90
122	90
116	90
111	90
106	90
105	91
103	92
103	92
103	92
103	92
103	92
103	92
118	94
118	94
118	94
118	97
118	101
118	107
118	111
118	114
116	116
112	116
109	116
104	116
100	116
96	116
94	114
94	111
94	109
94	107
95	106
94	104
92	101
91	97
91	94
88	92
88	89
87	87
85	84
83	81
81	78
78	78
76	77
75	77
74	77
73	77
73	77
73	77
72	77
72	77
72	77
72	77
72	77
72	77
72	77
72	77
72	77
72	77
72	77
73	78
73	78
73	78
73	78
73	78
73	78
73	78
73	78
73	78
73	78
81	78
86	81
88	82
88	82
88	82
88	82
88	82
87	82
86	82
86	82
